Raw 0x113ecad6  Time:  289327830;  DifTime: 233
Raw 0x113ecbc2  Time:  289328066;  DifTime: 236
Raw 0x113eccaa  Time:  289328298;  DifTime: 232
Raw 0x113ecd93  Time:  289328531;  DifTime: 233
Raw 0x113ece7a  Time:  289328762;  DifTime: 231
Raw 0x113ecf61  Time:  289328993;  DifTime: 231
Raw 0x113ed045  Time:  289329221;  DifTime: 228
Raw 0x113ed12f  Time:  289329455;  DifTime: 234
Raw 0x113ed216  Time:  289329686;  DifTime: 231
Raw 0x113ed2fd  Time:  289329917;  DifTime: 231
Raw 0x113ed3e5  Time:  289330149;  DifTime: 232
Raw 0x113ed4cc  Time:  289330380;  DifTime: 231
Raw 0x113ed5b5  Time:  289330613;  DifTime: 233
Raw 0x113ed69c  Time:  289330844;  DifTime: 231
Raw 0x113ed782  Time:  289331074;  DifTime: 230
Raw 0x113ed868  Time:  289331304;  DifTime: 230
Raw 0x113ed953  Time:  289331539;  DifTime: 235
Raw 0x113eda3a  Time:  289331770;  DifTime: 231
Raw 0x113edb20  Time:  289332000;  DifTime: 230
Raw 0x113edc3a  Time:  289332282;  DifTime: 282
Raw 0x113edd2c  Time:  289332524;  DifTime: 242
Raw 0x113ede19  Time:  289332761;  DifTime: 237
Raw 0x113edf09  Time:  289333001;  DifTime: 240
Raw 0x113edff7  Time:  289333239;  DifTime: 238
Raw 0x113ee0e8  Time:  289333480;  DifTime: 241
Raw 0x113ee1d5  Time:  289333717;  DifTime: 237
Raw 0x113ee2c0  Time:  289333952;  DifTime: 235
Raw 0x113ee3b0  Time:  289334192;  DifTime: 240
Raw 0x113ee49e  Time:  289334430;  DifTime: 238
Raw 0x113ee589  Time:  289334665;  DifTime: 235
Raw 0x113ee676  Time:  289334902;  DifTime: 237
Raw 0x113ee761  Time:  289335137;  DifTime: 235
Raw 0x113ee84f  Time:  289335375;  DifTime: 238
Raw 0x113ee93c  Time:  289335612;  DifTime: 237
Raw 0x113eea29  Time:  289335849;  DifTime: 237
Raw 0x113eeb17  Time:  289336087;  DifTime: 238
Raw 0x113eec02  Time:  289336322;  DifTime: 235
Raw 0x113eeced  Time:  289336557;  DifTime: 235
Raw 0x113eeddc  Time:  289336796;  DifTime: 239
Raw 0x113eeec8  Time:  289337032;  DifTime: 236
Raw 0x113eefef  Time:  289337327;  DifTime: 295
Raw 0x113ef0e2  Time:  289337570;  DifTime: 243
Raw 0x113ef1d2  Time:  289337810;  DifTime: 240
Raw 0x113ef2c0  Time:  289338048;  DifTime: 238
Raw 0x113ef3af  Time:  289338287;  DifTime: 239
Raw 0x113ef49e  Time:  289338526;  DifTime: 239
Raw 0x113ef58e  Time:  289338766;  DifTime: 240
Raw 0x113ef67e  Time:  289339006;  DifTime: 240
Raw 0x113ef76d  Time:  289339245;  DifTime: 239
Raw 0x113ef85b  Time:  289339483;  DifTime: 238
Raw 0x113ef94a  Time:  289339722;  DifTime: 239
Raw 0x113efa3a  Time:  289339962;  DifTime: 240
Raw 0x113efb2a  Time:  289340202;  DifTime: 240
